Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance_%,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Lab_Score,Extra_Credit,Study_Hours_Per_Week,Total_Score,Grade
S1043,Zara,Anderson,student43@university.edu,Female,22,Engineering,56.03,43.48,38.37,72.15,85.73,26.66,29.47,63.89,7.25,19.6,49.251,F
S1044,Sofia,Walker,student44@university.edu,Female,19,Engineering,64.81,55.26,51.16,82.48,47.59,14.1,14.91,50.45,9.44,13.1,51.0125,F
S1045,Lucas,Smith,student45@university.edu,Male,22,CS,73.94,53.85,97.58,55.15,91.7,20.27,15.88,64.42,5.77,14.0,66.0015,D
S1046,Liam,Davis,student46@university.edu,Female,19,Engineering,55.92,83.51,72.44,87.44,53.54,57.03,50.55,60.99,8.6,19.8,72.0355,C
S1047,James,Lewis,student47@university.edu,Male,19,Engineering,81.28,48.53,35.68,54.39,73.12,24.09,46.77,78.26,4.7,1.6,48.1015,F
S1048,James,Thomas,student48@university.edu,Female,19,Engineering,96.2,85.15,73.75,79.67,96.02,48.26,59.01,75.33,9.08,16.7,77.0455,C
S1049,Ahmed,Brown,student49@university.edu,Male,22,Business,71.96,62.81,51.29,64.15,56.33,58.6,49.4,71.86,8.89,15.0,57.808,F
S1050,Ravi,Anderson,student50@university.edu,Male,19,Engineering,98.1,88.52,70.26,97.05,99.97,70.51,34.26,32.82,7.56,9.9,76.355,C
S1051,Zara,Anderson,student51@university.edu,Male,24,CS,98.45,62.9,58.58,59.26,46.28,24.47,47.05,64.68,6.63,8.6,55.9785,F
S1052,Ethan,Brown,student52@university.edu,Female,19,Business,62.62,38.11,84.08,91.89,89.5,10.1,88.24,62.34,0.54,10.9,69.931,D
S1053,Ravi,Martinez,student53@university.edu,Female,18,Engineering,63.35,39.17,50.16,92.85,69.08,12.6,66.7,85.95,7.1,6.9,57.2735,F
S1054,Omar,Clark,student54@university.edu,Female,19,Engineering,99.61,93.91,62.3,47.05,89.93,54.85,74.49,65.62,2.73,16.9,71.6905,C
S1055,Lucas,Taylor,student55@university.edu,Female,20,CS,59.53,71.96,82.24,48.19,44.19,79.54,86.9,53.79,7.88,6.1,69.666,D
S1056,Omar,Thomas,student56@university.edu,Female,25,Engineering,72.33,63.9,53.27,85.77,62.63,93.96,88.26,98.65,2.39,8.3,69.541,D
S1057,Noah,Brown,student57@university.edu,Female,25,CS,69.3,76.46,87.45,98.85,69.72,13.33,55.21,71.31,8.7,17.6,76.9025,C
S1058,Zara,Smith,student58@university.edu,Female,18,Engineering,70.5,75.83,40.81,68.17,98.15,40.47,72.34,75.49,8.52,17.2,64.273,D
S1059,Ethan,Harris,student59@university.edu,Female,25,Mathematics,80.87,46.43,77.91,57.24,53.65,18.13,98.05,83.23,7.04,2.9,63.8045,D
S1060,Emma,Thomas,student60@university.edu,Male,18,Business,89.81,50.54,56.24,48.73,71.87,60.93,81.33,41.9,0.79,17.5,57.278,F
S1061,Ravi,Taylor,student61@university.edu,Female,20,Engineering,73.06,47.78,47.87,40.56,88.28,91.11,70.98,41.06,4.42,7.6,54.9245,F
S1062,Nora,Thomas,student62@university.edu,Female,22,CS,92.27,43.95,56.93,68.99,54.23,61.47,61.73,99.49,2.95,19.6,58.059,F
S1063,Fatima,Anderson,student63@university.edu,Male,18,CS,91.64,93.21,84.3,53.81,88.12,29.71,27.11,47.54,7.56,15.6,72.0495,C
S1064,Liam,Smith,student64@university.edu,Male,22,CS,51.67,55.54,39.2,94.58,59.6,47.4,28.07,85.06,8.76,8.0,55.222,F
S1065,Sofia,Anderson,student65@university.edu,Male,22,CS,98.37,50.66,90.93,88.25,68.1,16.78,77.87,45.79,6.76,13.8,70.907,C
S1066,Fatima,Clark,student66@university.edu,Female,19,CS,50.7,67.56,61.84,80.37,80.34,62.61,84.02,95.82,1.08,5.4,71.855,C
S1067,Omar,Walker,student67@university.edu,Female,21,Mathematics,81.77,62.5,79.08,78.95,47.0,14.08,13.35,99.71,1.16,5.5,62.916,D
S1068,Ethan,Davis,student68@university.edu,Female,25,Business,83.52,82.02,96.22,65.15,84.54,23.91,47.34,36.93,4.89,8.8,75.3735,C
S1069,Priya,Brown,student69@university.edu,Female,21,CS,72.23,46.53,55.39,98.86,62.04,91.15,68.03,34.24,2.76,19.4,62.355,D
S1070,Zara,Jones,student70@university.edu,Male,18,Mathematics,89.34,47.05,38.81,73.87,44.12,78.86,28.64,45.12,8.7,7.2,47.961,F
S1071,Liam,Walker,student71@university.edu,Male,22,Engineering,99.38,67.82,85.9,46.6,91.99,21.86,42.24,85.19,5.89,1.3,68.4905,D
S1072,Priya,Brown,student72@university.edu,Male,24,Mathematics,87.28,63.34,84.46,70.79,46.54,55.35,95.09,33.04,7.83,17.5,70.374,C
S1073,Sofia,Thomas,student73@university.edu,Female,18,Mathematics,99.93,89.31,59.84,46.48,82.74,49.92,90.93,52.55,1.48,3.4,69.742,D
S1074,Ravi,Lewis,student74@university.edu,Female,24,Business,72.69,72.38,36.94,82.11,91.17,68.58,79.21,80.46,2.15,9.6,65.9835,D
S1075,Ali,Martin,student75@university.edu,Female,25,CS,70.8,36.66,59.87,79.91,62.46,23.74,93.07,34.7,8.32,2.8,57.5875,F
S1076,John,White,student76@university.edu,Male,18,Business,83.5,58.76,91.15,96.47,65.38,92.43,14.63,50.13,3.12,3.0,71.6345,C
S1077,Sofia,Wilson,student77@university.edu,Male,25,Engineering,92.36,54.51,68.94,46.89,56.71,30.35,48.62,69.27,7.67,12.8,56.857,F
S1078,Ethan,Williams,student78@university.edu,Female,18,Engineering,63.66,83.37,94.51,61.06,50.88,22.89,69.16,34.87,7.41,19.5,73.2465,C
S1079,Ahmed,Robinson,student79@university.edu,Male,24,CS,72.68,41.02,51.81,59.46,96.48,63.66,89.5,40.89,7.54,1.9,58.5425,F
S1080,Ahmed,Anderson,student80@university.edu,Female,24,CS,80.35,58.99,45.09,70.74,60.71,19.98,71.04,71.52,5.27,6.9,56.6355,F
S1081,Ali,Harris,student81@university.edu,Male,18,Engineering,65.07,44.79,39.61,55.33,59.69,10.7,77.23,42.3,3.8,14.4,47.722,F
S1082,Sofia,Clark,student82@university.edu,Female,19,CS,93.09,32.96,31.31,95.27,91.73,61.82,61.61,79.66,4.18,3.2,54.3315,F
S1083,Omar,Jackson,student83@university.edu,Male,25,Business,54.41,89.11,47.03,75.33,71.44,45.62,37.92,53.77,3.33,4.2,63.5915,D
S1084,Sofia,Smith,student84@university.edu,Male,23,Business,86.37,87.33,87.05,54.18,48.79,27.75,64.22,83.22,6.56,4.4,72.924,C
S1085,Lucas,Garcia,student85@university.edu,Female,23,Business,57.55,34.78,60.95,58.17,56.48,15.06,55.66,51.73,4.52,2.1,50.259,F
S1086,James,Jones,student86@university.edu,Male,24,CS,79.02,96.8,81.72,42.46,94.54,61.45,26.94,72.35,5.01,19.2,73.923,C
S1087,Zara,Smith,student87@university.edu,Female,19,Engineering,51.96,79.53,99.37,71.44,76.59,42.75,92.61,57.12,7.74,13.9,82.323,B
S1088,Maria,Jackson,student88@university.edu,Male,23,Mathematics,77.9,57.06,47.64,91.09,97.86,64.24,23.53,35.71,6.64,18.4,59.357,F
S1089,James,Harris,student89@university.edu,Male,19,Business,77.95,75.04,52.99,47.67,82.17,95.24,99.74,93.87,0.93,13.7,69.454,D
S1090,Sofia,White,student90@university.edu,Male,23,Business,59.01,44.99,96.34,69.18,53.59,22.38,16.94,89.11,1.01,15.6,63.154,D
S1091,Sofia,Brown,student91@university.edu,Female,20,CS,57.71,42.66,78.5,77.48,94.16,74.91,13.93,55.5,7.2,19.4,63.1665,D
S1092,Ravi,Thomas,student92@university.edu,Female,21,Engineering,65.47,86.6,62.83,90.11,62.07,95.24,98.6,62.32,2.82,8.3,77.9605,C
S1093,Sofia,Martin,student93@university.edu,Male,21,Engineering,93.65,33.65,63.64,62.27,96.06,74.03,56.43,38.73,0.84,4.0,57.732,F
S1094,Zara,Robinson,student94@university.edu,Male,24,Mathematics,97.32,45.54,61.58,60.98,41.6,14.79,55.18,46.5,9.95,8.1,51.7485,F
S1095,Omar,Jackson,student95@university.edu,Male,23,Engineering,56.88,50.08,88.08,81.76,48.33,73.5,50.37,30.37,0.79,5.9,66.2715,D
S1096,Liam,Clark,student96@university.edu,Female,19,Business,61.88,38.53,46.69,78.34,77.37,15.65,85.3,64.99,5.36,13.0,55.6895,F
S1097,Nora,Taylor,student97@university.edu,Male,22,CS,50.08,54.7,69.95,51.24,80.09,57.11,42.45,96.74,5.44,15.9,62.2925,D
S1098,Sofia,Clark,student98@university.edu,Male,24,CS,52.18,57.08,56.13,84.84,61.43,16.08,31.7,76.0,1.04,12.1,57.752,F
S1099,Aisha,Davis,student99@university.edu,Male,23,Business,90.68,42.26,84.54,67.88,81.72,66.86,83.03,34.42,7.76,9.7,67.648,D
S1100,James,Wilson,student100@university.edu,Male,21,Mathematics,65.78,51.71,57.88,88.92,68.4,13.3,68.22,50.03,8.62,1.9,60.458,D
S1101,Aisha,Anderson,student101@university.edu,Male,23,CS,94.47,82.03,92.62,63.2,98.42,54.66,54.78,94.7,5.19,16.2,80.5615,B
S1102,Noah,Jones,student102@university.edu,Female,20,Business,66.06,35.6,76.26,58.39,76.16,48.35,72.08,54.61,0.42,17.5,60.5085,D
S1103,David,Walker,student103@university.edu,Female,22,Mathematics,53.75,74.63,55.43,88.07,80.76,95.75,22.85,72.53,7.81,1.7,67.272,D
S1104,Ahmed,Taylor,student104@university.edu,Female,23,CS,97.47,32.27,40.74,67.0,62.26,49.95,16.92,39.64,3.67,7.0,42.737,F
S1105,Priya,Taylor,student105@university.edu,Male,18,Engineering,74.95,57.09,69.32,55.71,55.62,50.16,99.67,49.99,9.16,10.3,63.9615,D
S1106,John,Davis,student106@university.edu,Male,25,Engineering,94.93,61.16,36.15,80.92,90.73,38.76,41.27,34.55,5.42,17.9,55.1385,F
S1107,Emma,Johnson,student107@university.edu,Female,21,Mathematics,99.26,85.44,46.57,69.64,61.65,61.5,52.07,98.81,1.3,17.8,65.1645,D
S1108,Ahmed,Thomas,student108@university.edu,Female,25,CS,88.46,87.63,35.16,98.34,78.54,50.5,71.21,54.12,8.78,15.8,67.4125,D
S1109,Nora,Johnson,student109@university.edu,Male,24,Mathematics,91.57,66.27,51.29,49.72,96.08,30.29,95.27,66.32,2.84,2.5,63.378,D
S1110,Sara,Clark,student110@university.edu,Female,20,Business,80.72,36.54,74.87,75.51,74.84,25.41,66.2,93.14,3.38,18.6,62.954,D
S1111,Maria,Williams,student111@university.edu,Male,18,Business,82.56,83.69,59.16,78.34,69.88,66.44,36.07,96.97,4.83,16.3,69.187,D
S1112,Fatima,Thomas,student112@university.edu,Female,19,Mathematics,57.9,59.09,62.51,60.41,48.62,87.53,38.74,99.16,3.45,8.6,60.6575,D
S1113,David,Robinson,student113@university.edu,Male,23,Engineering,73.32,48.72,47.35,45.81,57.41,44.57,65.38,47.38,8.65,4.0,50.133,F
S1114,Aisha,Lewis,student114@university.edu,Female,21,Engineering,74.91,66.03,64.91,58.51,41.39,95.07,55.49,97.67,2.15,7.7,64.082,D
S1115,Maria,Thomas,student115@university.edu,Female,25,Business,76.83,89.3,60.16,92.95,83.65,78.75,42.93,58.04,5.7,4.7,73.813,C
S1116,Ethan,Thomas,student116@university.edu,Male,24,CS,88.22,49.58,99.24,80.82,47.13,97.76,45.45,85.64,3.39,18.8,72.718,C
S1117,Liam,Wilson,student117@university.edu,Female,18,Mathematics,51.95,79.95,86.28,71.16,48.94,90.38,22.58,95.2,3.19,8.5,72.9765,C
S1118,Ravi,Thomas,student118@university.edu,Female,25,Business,73.74,31.16,53.19,46.58,64.99,37.69,90.89,91.05,6.29,12.3,52.759,F
S1119,Priya,Lewis,student119@university.edu,Male,18,CS,58.53,74.03,73.38,90.47,48.87,71.27,12.84,96.37,1.1,1.4,68.645,D
S1120,Aisha,Martin,student120@university.edu,Male,24,Engineering,70.52,84.25,94.44,92.37,84.15,15.61,22.43,44.51,3.25,13.6,76.914,C
S1121,Sofia,Harris,student121@university.edu,Female,20,CS,95.61,53.96,54.8,86.32,83.26,67.9,72.4,72.71,1.92,5.7,65.4745,D
S1122,Ethan,Thomas,student122@university.edu,Male,22,Business,85.25,78.32,64.23,68.79,73.63,94.1,74.95,50.15,5.73,11.3,71.238,C
S1123,Fatima,White,student123@university.edu,Male,22,Mathematics,64.38,79.99,54.25,66.54,55.39,53.12,28.19,67.7,9.33,14.2,60.6525,D
S1124,Liam,Smith,student124@university.edu,Male,21,Mathematics,83.49,67.17,74.66,43.15,64.8,74.56,19.05,83.95,0.05,11.5,61.9735,D
S1125,Emma,Martin,student125@university.edu,Female,25,Engineering,87.8,50.11,49.98,43.55,86.12,68.71,30.9,81.71,8.5,1.7,53.277,F
S1126,Emma,Martin,student126@university.edu,Male,18,CS,89.4,43.04,82.43,92.34,57.37,13.37,36.86,72.19,9.28,7.4,63.041,D
S1127,Zara,Clark,student127@university.edu,Female,20,CS,63.64,86.62,53.15,83.87,78.9,74.67,11.27,53.6,2.95,13.8,65.611,D
S1128,Sara,Johnson,student128@university.edu,Female,24,Business,54.34,76.85,42.93,48.44,59.42,32.32,33.47,46.49,7.54,19.1,52.587,F
S1129,James,Lewis,student129@university.edu,Male,22,Business,84.64,34.35,38.28,58.41,64.32,55.23,90.56,79.25,3.11,3.2,51.045,F
S1130,James,White,student130@university.edu,Male,21,Engineering,73.91,61.85,99.22,62.42,82.12,92.15,78.16,86.14,8.26,15.5,79.534,C
S1131,Ravi,Jones,student131@university.edu,Female,23,Mathematics,95.86,37.85,88.01,94.17,52.13,58.3,24.81,89.81,4.42,13.9,65.0905,D
S1132,Nora,Martinez,student132@university.edu,Male,25,Mathematics,72.67,65.93,61.98,43.46,67.74,82.62,75.1,57.72,8.16,15.2,62.8965,D
S1133,Nora,Jones,student133@university.edu,Male,24,Business,85.02,67.88,34.22,93.65,99.17,52.49,35.84,42.6,1.35,13.2,59.539,F
S1134,Noah,White,student134@university.edu,Female,25,CS,68.78,77.79,76.33,72.36,79.21,41.3,26.06,67.61,5.29,14.8,69.173,D
S1135,Ali,Williams,student135@university.edu,Male,22,CS,83.67,68.11,67.24,89.4,54.85,41.15,34.81,95.62,7.25,3.1,66.414,D
S1136,Noah,Walker,student136@university.edu,Male,21,Engineering,53.36,71.58,61.25,80.32,92.33,32.03,13.98,60.73,5.4,15.3,63.587,D
S1137,Maria,Davis,student137@university.edu,Female,21,Business,78.87,84.08,87.29,54.21,92.58,98.71,56.91,58.95,2.75,11.6,78.1705,C
S1138,Nora,Johnson,student138@university.edu,Female,25,Mathematics,98.61,95.91,76.99,87.15,59.12,47.47,23.43,56.35,7.54,10.0,73.593,C
S1139,Ali,Thomas,student139@university.edu,Male,25,Mathematics,78.12,97.75,69.01,48.05,54.57,28.3,68.2,94.56,8.47,2.8,70.768,C
S1140,Sara,Brown,student140@university.edu,Female,24,Mathematics,93.68,43.17,83.32,83.46,73.53,53.15,88.25,53.31,9.57,1.3,69.8085,D
S1141,Sara,Smith,student141@university.edu,Female,21,Engineering,69.83,46.75,52.51,56.98,67.98,68.38,37.76,55.18,8.83,9.9,52.7395,F
S1142,Lucas,Jackson,student142@university.edu,Male,23,Business,70.7,69.38,45.49,48.76,55.65,94.13,62.12,59.23,1.52,7.3,57.751,F
S1143,Fatima,Lewis,student143@university.edu,Male,25,Business,62.87,87.51,97.66,78.5,69.44,25.14,81.55,41.85,7.2,10.3,81.399,B
S1144,Ethan,Brown,student144@university.edu,Male,19,Mathematics,88.22,58.87,88.98,53.89,82.43,10.82,55.52,56.12,6.18,13.7,66.637,D
S1145,Ravi,Martinez,student145@university.edu,Female,18,Mathematics,76.61,58.79,31.17,83.33,72.14,35.8,55.2,78.85,4.31,18.9,55.0145,F
S1146,Emma,Smith,student146@university.edu,Male,20,Engineering,59.6,66.85,87.07,56.04,63.81,43.57,46.54,69.55,9.9,5.3,67.9305,D
S1147,Ahmed,Brown,student147@university.edu,Male,24,CS,68.86,63.32,74.57,82.17,44.96,86.08,68.04,53.19,9.77,19.5,68.79,D
S1148,Sofia,Brown,student148@university.edu,Male,21,CS,63.55,94.69,77.91,56.82,72.58,69.23,26.14,89.53,0.16,4.9,73.3785,C
S1149,Liam,Harris,student149@university.edu,Male,22,Engineering,78.2,69.67,89.46,80.62,72.43,44.55,76.58,85.33,6.89,2.5,77.7435,C
S1150,David,Brown,student150@university.edu,Male,24,Engineering,91.93,53.84,83.83,97.29,63.8,79.62,12.67,49.13,9.93,10.3,67.287,D
S1151,David,Clark,student151@university.edu,Female,24,Engineering,83.98,76.25,36.0,77.12,87.88,74.18,17.38,40.8,7.12,13.0,57.7055,F
S1152,Fatima,Jackson,student152@university.edu,Female,19,Mathematics,50.26,51.58,55.19,56.19,47.95,26.87,50.4,68.83,4.08,1.5,52.5005,F
S1153,David,Clark,student153@university.edu,Male,23,CS,50.62,58.97,84.54,83.49,73.57,99.35,31.85,66.48,6.85,4.2,71.4615,C
S1154,Priya,Thomas,student154@university.edu,Female,25,Engineering,53.16,60.43,59.48,69.05,44.62,32.65,32.19,73.75,5.94,4.7,56.31,F
S1155,John,Davis,student155@university.edu,Female,18,CS,66.61,73.41,86.29,59.77,60.08,83.39,87.36,98.2,1.36,7.1,77.0285,C
S1156,Sara,Martinez,student156@university.edu,Female,20,CS,98.44,50.4,78.65,69.46,74.55,31.82,43.84,87.15,3.93,3.2,64.4015,D
S1157,Nora,Wilson,student157@university.edu,Male,18,CS,97.15,44.68,85.84,89.88,44.15,86.3,81.55,77.11,1.39,6.8,71.1445,C
S1158,Priya,Davis,student158@university.edu,Female,24,Mathematics,72.45,71.86,70.76,72.06,95.41,88.27,47.65,32.57,9.68,14.3,70.35,C
S1159,Ethan,Walker,student159@university.edu,Male,19,Engineering,82.88,54.85,75.29,42.66,99.02,70.97,45.97,82.69,9.66,9.2,64.8805,D
S1160,Omar,Smith,student160@university.edu,Female,21,Engineering,72.29,57.38,84.06,75.32,70.03,41.05,12.21,37.32,4.16,19.3,63.0035,D
S1161,John,Davis,student161@university.edu,Female,22,Business,72.77,44.48,63.8,68.57,66.29,72.71,38.7,51.02,8.1,3.2,57.231,F
S1162,Aisha,Smith,student162@university.edu,Male,21,Engineering,77.6,53.17,59.85,67.72,87.87,66.68,26.77,76.01,3.96,15.0,60.004,D
S1163,Sara,Garcia,student163@university.edu,Female,24,Mathematics,85.24,44.4,82.66,88.52,43.75,19.16,88.48,43.09,3.26,9.7,65.5115,D
S1164,Priya,Martinez,student164@university.edu,Female,24,CS,79.35,54.35,89.19,77.04,88.82,73.54,36.77,73.01,0.85,3.5,71.787,C
S1165,John,Taylor,student165@university.edu,Female,19,Engineering,68.67,39.9,57.19,75.79,74.49,48.07,53.8,67.62,9.19,18.7,57.114,F
S1166,Emma,Clark,student166@university.edu,Male,25,Business,57.01,52.02,61.57,43.22,61.54,10.86,22.29,87.07,9.64,10.6,51.2385,F
S1167,Lucas,Martin,student167@university.edu,Female,24,CS,74.43,35.79,32.16,85.66,57.53,34.74,58.38,41.77,4.57,15.1,46.861,F
S1168,Lucas,Clark,student168@university.edu,Male,19,Business,88.76,87.63,55.68,89.36,42.5,74.71,59.17,99.28,1.02,16.8,70.882,C
S1169,Ali,Thomas,student169@university.edu,Male,25,Business,67.43,87.17,60.73,99.64,86.54,31.33,82.96,71.15,3.51,14.5,77.0315,C
S1170,Noah,Johnson,student170@university.edu,Male,21,Engineering,90.27,69.91,67.26,75.81,50.1,98.11,36.34,70.09,9.52,10.8,66.081,D
S1171,John,Davis,student171@university.edu,Female,18,Business,93.35,38.88,90.63,54.98,82.68,84.56,78.53,77.34,4.89,12.0,69.372,D
S1172,Priya,Martin,student172@university.edu,Female,25,Mathematics,81.68,91.61,36.52,70.94,56.69,94.27,43.22,96.52,3.27,1.0,64.03,D
S1173,Ahmed,Garcia,student173@university.edu,Female,19,CS,60.89,60.08,44.83,56.11,89.7,40.4,62.01,69.63,4.85,7.5,57.558,F
S1174,Maria,Brown,student174@university.edu,Male,25,Mathematics,56.21,90.04,60.89,40.04,97.48,28.21,71.97,39.23,6.5,4.0,67.1,D
S1175,Priya,Jones,student175@university.edu,Female,22,Mathematics,68.59,93.27,41.59,63.78,58.33,72.95,31.07,75.88,7.04,1.0,61.743,D
S1176,Lucas,Jones,student176@university.edu,Male,21,CS,50.46,78.69,87.2,99.29,65.34,21.9,16.37,56.81,7.31,2.9,72.8325,C
S1177,Aisha,White,student177@university.edu,Female,20,CS,88.67,82.72,39.32,99.58,48.57,57.75,10.76,75.5,4.4,14.7,60.0085,D
S1178,Liam,Martin,student178@university.edu,Female,21,Mathematics,94.83,39.8,38.62,83.8,61.09,48.64,81.2,47.35,6.45,5.7,53.1345,F
S1179,Ravi,Walker,student179@university.edu,Female,18,Business,60.27,72.48,43.21,63.51,78.77,80.54,81.44,46.75,3.86,5.6,62.995,D
